DATE,CSUSHPISA,Year,Month,Per_Capita_GDP,working_age_pop,Houses,CPI,UNRATE,EmpRate,Cons_Material,FEDFUNDS,urban_pop_us,Num_Households,median_income,Subsidy,old_age_pop,CSUSHPISA_smoothed,Houses_smoothed,Cons_Material_smoothed,FEDFUNDS_smoothed,UNRATE_smoothed,EmpRate_smoothed
2002-01-01,117.144,2002,1,50091.0,182565279.867578,4.2,177.7,5.7,72.0164916298855,142.0,1.73,79.4,109297.0,65820.0,24.183,12.3,117.144,4.2,142.0,1.73,5.7,72.0164916298855
2002-02-01,117.845,2002,2,50156.0,182796967.569976,4.0,178.0,5.7,72.3333098537061,142.2,1.74,79.4,109297.0,65820.0,24.183,12.3,117.4945,4.1,142.1,1.7349999999999999,5.7,72.1749007417958
2002-03-01,118.687,2002,3,50221.0,183077355.612739,4.1,178.5,5.7,72.1321904387761,143.2,1.73,79.4,109297.0,65820.0,24.183,12.3,117.892,4.1000000000000005,142.46666666666667,1.7333333333333334,5.7,72.16066397412256
2002-04-01,119.611,2002,4,50286.0,183259721.051767,4.3,179.3,5.9,71.9150862885645,143.5,1.75,79.4,109297.0,65820.0,24.183,12.3,118.71433333333334,4.133333333333334,142.96666666666667,1.74,5.766666666666667,72.12686219368224
2002-05-01,120.724,2002,5,50311.333333333336,183508489.919804,4.0,179.5,5.8,72.0259454584681,143.8,1.75,79.4,109297.0,65820.0,24.183,12.3,119.67399999999999,4.133333333333333,143.5,1.7433333333333332,5.8,72.02440739526956
2002-06-01,121.813,2002,6,50336.666666666664,183669679.05149695,4.2,179.6,5.8,71.8415976183793,144.3,1.75,79.4,109297.0,65820.0,24.183,12.3,120.71600000000001,4.166666666666667,143.86666666666667,1.75,5.833333333333333,71.92754312180396
2002-07-01,122.888,2002,7,50362.0,183888022.552227,4.2,180.0,5.8,71.7475693074201,144.7,1.73,79.4,109297.0,65820.0,24.183,12.3,121.80833333333334,4.133333333333334,144.26666666666668,1.7433333333333334,5.8,71.87170412808916
2002-08-01,123.83,2002,8,50342.0,184160985.601312,4.0,180.5,5.7,71.8888744427129,145.1,1.74,79.4,109297.0,65820.0,24.183,12.3,122.84366666666666,4.133333333333334,144.70000000000002,1.7400000000000002,5.766666666666667,71.8260137895041
2002-09-01,124.78,2002,9,50322.0,184423183.166082,3.9,180.8,5.7,72.0771655373591,145.4,1.75,79.4,109297.0,65820.0,24.183,12.3,123.83266666666667,4.033333333333333,145.06666666666666,1.7400000000000002,5.733333333333333,71.90453642916403
2002-10-01,125.735,2002,10,50302.0,184554183.404222,4.0,181.2,5.7,71.8898056338426,145.0,1.75,79.4,109297.0,65820.0,24.183,12.3,124.78166666666668,3.966666666666667,145.16666666666666,1.7466666666666668,5.7,71.95194853797153
2002-11-01,126.67,2002,11,50355.333333333336,184744660.935522,4.0,181.5,5.9,71.5418712996904,144.6,1.34,79.4,109297.0,65820.0,24.183,12.3,125.72833333333334,3.966666666666667,145.0,1.6133333333333333,5.766666666666667,71.8362808236307
2002-12-01,127.624,2002,12,50408.666666666664,184859330.48556095,4.0,181.8,6.0,71.5702667205511,144.3,1.24,79.4,109297.0,65820.0,24.183,12.3,126.67633333333333,4.0,144.63333333333333,1.4433333333333334,5.866666666666667,71.66731455136137
2003-01-01,128.461,2003,1,50462.0,185634217.687818,4.0,182.6,5.8,71.5901364063666,144.4,1.24,79.6,111278.0,65860.0,25.93,12.3,127.585,4.0,144.43333333333334,1.2733333333333334,5.900000000000001,71.56742480886936
2003-02-01,129.355,2003,2,50573.333333333336,185868643.220494,4.5,183.6,5.9,71.5216291392128,145.2,1.26,79.6,111278.0,65860.0,25.93,12.3,128.48,4.166666666666667,144.63333333333335,1.2466666666666668,5.8999999999999995,71.5606774220435
2003-03-01,130.148,2003,3,50684.666666666664,186084693.56995896,4.1,183.9,5.9,71.397721503288,145.2,1.25,79.6,111278.0,65860.0,25.93,12.3,129.32133333333334,4.2,144.93333333333334,1.25,5.866666666666667,71.50316234962247
2003-04-01,130.884,2003,4,50796.0,186470081.246257,4.1,183.2,6.0,71.3776313514581,145.9,1.26,79.6,111278.0,65860.0,25.93,12.3,130.129,4.233333333333333,145.4333333333333,1.2566666666666666,5.933333333333334,71.43232733131964
